Nombre_Empresa,Tipo,Divisa,Monto,Plazo,Fecha_Inicio_Contrato,Ejecutivo
grupo carso,Vista,MXN,4515887.53,1,19-Dec-2023,Ing. Pedro Frías
liverpool,Plazo,EUR,3788700.41,145,"June 27, 2021",Sandra Rodolfo Amador
BANORTE,Vista,USD,922350.44,1,2020-06-06,Luis Manuel Ana María Vera Domínguez
soriana,Plazo,EUR,1031551.7,425,"November 11, 2023",Ruby Alma Ulloa Puente
AMÉRICA MÓVIL,CEDE,MXN,1341167.18,394,"August 22, 2021",Lic. Gilberto Camacho
SORIANA,Plazo,MXN,4518836.59,48,"March 08, 2024",Mauricio Ybarra
liverpool,Vista,MXN,3250659.75,1,26/08/2021,Eloisa Salinas Aguilar
banorte,Vista,EUR,2211587.0,1,"October 01, 2019",Alejandro Manuel Pantoja Olivo
banorte,Vista,USD,3151358.77,1,2019-09-08,Camila Ortega Nazario
telmex,Plazo,MXN,4942909.72,270,04-Sep-2022,Daniel Nadia Camacho
cemex,Vista,USD,3824245.83,1,"December 06, 2023",Ivonne Cristian Crespo
GRUPO LALA,Plazo,USD,2684073.88,605,26/02/2022,Fernando Rivera Maestas
telmex,Plazo,EUR,4134449.04,413,2022-05-09,Helena Durán
grupo lala,Vista,USD,1760669.05,1,2021-04-05,Humberto Palomo
telmex,Plazo,EUR,4290119.52,311,2017-10-18,Mercedes Pablo Sanabria
GRUPO MÉXICO,Vista,EUR,1180599.76,1,2015-11-02,Fernando Rivera Maestas
BANORTE,CEDE,EUR,3264989.68,79,11/07/2021,Luis Manuel Ana María Vera Domínguez
TELMEX,CEDE,MXN,4234232.91,531,07/06/2021,Tania Homero Alonso
telmex,Vista,EUR,3854064.23,1,14/03/2025,Frida Heredia Merino
AMÉRICA MÓVIL,Plazo,EUR,2811150.28,444,26-Nov-2015,Cornelio Serafín Concepción Delgado
FEMSA,Plazo,MXN,1787625.94,380,"July 05, 2016",Marco Antonio Esther Tamez Ponce
cemex,Plazo,EUR,3872742.02,352,21/04/2017,Anabel Anel Quintanilla
telmex,CEDE,MXN,3713375.28,606,01-Jun-2022,Samuel Yuridia Huerta
WALMART DE MÉXICO,Plazo,EUR,740848.27,540,02-Apr-2019,Ivonne Cristian Crespo
BBVA MÉXICO,Plazo,EUR,4961346.56,572,20/02/2016,Linda Isabela Zambrano
américa móvil,Vista,EUR,1180399.26,1,07/05/2022,Ing. Asunción Alemán
BBVA MÉXICO,Vista,USD,1416735.33,1,19/07/2016,Clara Cristobal Barreto Márquez
SORIANA,CEDE,EUR,2265053.84,343,"June 05, 2017",Fernando Rivera Maestas
BBVA MÉXICO,Vista,EUR,3638370.07,1,15/11/2022,Gabino Mariano Laureano Puente
AMÉRICA MÓVIL,Plazo,EUR,2962725.02,100,"January 09, 2025",Concepción Pedroza Ruelas
grupo bimbo,Vista,USD,3587152.84,1,"August 31, 2022",Ruby Alma Ulloa Puente
telmex,Plazo,EUR,662868.41,601,2015-12-24,Gabino Mariano Laureano Puente
PEMEX,CEDE,EUR,4072158.16,698,13/06/2024,Linda Isabela Zambrano
GRUPO LALA,Plazo,EUR,4449800.67,714,"May 01, 2020",Marco Antonio Esther Tamez Ponce
PEMEX,Vista,MXN,4559500.41,1,09-Mar-2021,Irma Tomás Alfaro
LIVERPOOL,Plazo,MXN,397875.14,671,"November 02, 2017",Ivonne Cristian Crespo
CEMEX,Vista,MXN,4189961.43,1,07/06/2022,Mauricio Ybarra
américa móvil,Vista,EUR,2832412.59,1,20/11/2024,Víctor Judith Leal Chapa
grupo méxico,Vista,USD,4663669.64,1,"August 06, 2020",Mercedes Pablo Sanabria
TELMEX,Vista,USD,4932220.42,1,2017-10-10,Lic. Gilberto Camacho
bbva méxico,Vista,USD,1082519.83,1,06-Apr-2022,Liliana Adela Castro
PEMEX,CEDE,USD,4548459.8,64,05/07/2023,Espartaco Feliciano
liverpool,CEDE,USD,4602337.38,142,24/04/2017,Clara Cristobal Barreto Márquez
banorte,CEDE,USD,94600.13,469,"November 11, 2020",Rosalia Flores
BBVA MÉXICO,Vista,EUR,876619.49,1,"March 20, 2017",Inés Castro
AMÉRICA MÓVIL,Plazo,USD,2007658.56,396,02-Apr-2023,Ivonne Cristian Crespo
CEMEX,Plazo,EUR,2115208.47,73,01-Nov-2018,Dr. Virginia Pelayo
telmex,Plazo,USD,3739204.0,185,"December 31, 2017",Cristobal Miguel Ángel Armenta Mayorga
WALMART DE MÉXICO,Plazo,USD,4463990.59,177,2018-08-11,Helena Durán
bbva méxico,Plazo,USD,2957465.01,139,04-Jun-2018,Sofía de la Rosa
SORIANA,Vista,EUR,2934942.7,1,"April 27, 2016",Ruby Alma Ulloa Puente
grupo carso,Vista,USD,4496752.76,1,20/10/2017,Marco Antonio Esther Tamez Ponce
ALSEA,Vista,USD,2347002.21,1,2018-06-08,Ing. Asunción Alemán
GRUPO CARSO,CEDE,USD,2969185.23,661,"August 10, 2022",Alejandro Manuel Pantoja Olivo
BBVA MÉXICO,CEDE,USD,4686716.99,152,10/08/2020,Mauricio Ybarra
LIVERPOOL,CEDE,EUR,4397267.63,246,2015-11-18,Sofía de la Rosa
liverpool,Plazo,USD,2232977.46,487,25/06/2021,Clara Cristobal Barreto Márquez
cemex,Vista,USD,2948284.99,1,"October 09, 2024",Luis Manuel Ana María Vera Domínguez
GRUPO BIMBO,CEDE,USD,2311876.9,706,25/09/2023,Liliana Adela Castro
FEMSA,Plazo,EUR,3872104.39,588,2019-08-19,Clara Cristobal Barreto Márquez
femsa,Plazo,EUR,3631528.46,128,"December 17, 2016",Liliana Adela Castro
cemex,Vista,MXN,3130741.8,1,2024-04-02,Francisco Bustos Nájera
walmart de méxico,Plazo,USD,4316575.28,35,21/04/2017,Linda Isabela Zambrano
BBVA MÉXICO,Vista,USD,4217994.64,1,19/05/2024,Tania Homero Alonso
cemex,Plazo,USD,3043855.94,198,2020-05-20,Francisco Bustos Nájera
pemex,Plazo,USD,4429642.22,305,13/11/2016,Juana Antonia Lira Samaniego
femsa,Vista,MXN,1965209.43,1,30-Jul-2023,Juana Antonia Lira Samaniego
alsea,Plazo,EUR,3038101.54,308,01-Dec-2024,Gabino Mariano Laureano Puente
LIVERPOOL,Vista,EUR,3231944.56,1,2020-09-03,Humberto Núñez
ALSEA,Plazo,MXN,4490612.75,707,29/05/2020,Samuel Yuridia Huerta
walmart de méxico,Plazo,EUR,2774446.37,158,"December 18, 2021",Ruby Alma Ulloa Puente
CEMEX,CEDE,MXN,3464270.36,570,05/03/2022,Juana Antonia Lira Samaniego
femsa,CEDE,EUR,2334936.3,165,2020-02-01,Dr. Virginia Pelayo
grupo méxico,Vista,MXN,396488.01,1,"January 30, 2020",Ivonne Cristian Crespo
bbva méxico,CEDE,USD,3974373.27,138,01-Jan-2016,Lic. Gilberto Camacho
grupo carso,Plazo,USD,264407.26,678,25/06/2022,Alejandra Susana Rodríguez Muro
liverpool,CEDE,USD,4954096.34,486,27-Sep-2019,Linda Isabela Zambrano
PEMEX,CEDE,MXN,908653.47,409,16-Oct-2018,Gabino Mariano Laureano Puente
SORIANA,CEDE,USD,3596138.64,223,02/05/2023,Ing. Asunción Alemán
bbva méxico,CEDE,EUR,4536827.95,283,12-Sep-2020,Mercedes Pablo Sanabria
GRUPO CARSO,CEDE,EUR,512516.59,179,2021-03-31,Ing. Pedro Frías
telmex,CEDE,EUR,2009906.84,77,13-Sep-2015,Fernando Cervantes Caballero
alsea,Plazo,MXN,2161966.69,126,13-Nov-2017,Alfonso Natalia Sevilla
soriana,Vista,EUR,4733101.1,1,21-Mar-2020,Fernando Rivera Maestas
PEMEX,Vista,USD,546098.78,1,19/11/2024,Camila Ortega Nazario
cemex,CEDE,EUR,273924.09,98,21/10/2024,Luis Manuel Ana María Vera Domínguez
grupo méxico,Vista,MXN,3433499.52,1,"September 02, 2023",Espartaco Feliciano
GRUPO MÉXICO,Vista,USD,2959705.62,1,"November 15, 2023",Concepción Pedroza Ruelas
grupo lala,Plazo,USD,1370435.33,389,"April 12, 2023",Víctor Judith Leal Chapa
soriana,Plazo,USD,3605591.49,294,13-Mar-2024,Víctor Durán de la Crúz
grupo carso,CEDE,MXN,1027237.49,700,"August 16, 2021",Sandra Rodolfo Amador
GRUPO MÉXICO,Plazo,EUR,4431492.31,203,03-Dec-2024,Sofía de la Rosa
GRUPO BIMBO,Plazo,MXN,3274103.53,55,23-Jul-2016,Fernando Rivera Maestas
AMÉRICA MÓVIL,CEDE,USD,4079230.49,80,13-Jul-2017,Frida Heredia Merino
PEMEX,Vista,EUR,2155120.76,1,"April 25, 2018",Luis Manuel Ana María Vera Domínguez
GRUPO LALA,Vista,EUR,2393295.89,1,2016-11-17,Samuel Yuridia Huerta
grupo méxico,Vista,MXN,3302597.85,1,2023-06-17,Daniel Nadia Camacho
GRUPO MÉXICO,Plazo,EUR,1423248.24,163,05/03/2020,Ruby Alma Ulloa Puente
américa móvil,Vista,USD,3757135.53,1,21-Mar-2024,Concepción Pedroza Ruelas
femsa,CEDE,USD,3998244.28,92,2023-11-03,Liliana Adela Castro
GRUPO BIMBO,CEDE,MXN,1808000.58,577,23/09/2023,Cornelio Serafín Concepción Delgado
alsea,Plazo,MXN,4558975.14,118,2019-12-22,Ruby Alma Ulloa Puente
bbva méxico,Plazo,EUR,2327021.48,44,26/03/2017,Sandra Rodolfo Amador
américa móvil,Plazo,USD,2663265.96,590,"March 26, 2025",Micaela Velásquez
ALSEA,Plazo,USD,2782865.75,339,"April 22, 2016",Espartaco Feliciano
grupo carso,Plazo,USD,3537191.53,187,2017-09-27,Gloria Otero Sáenz
walmart de méxico,CEDE,EUR,2553512.55,656,2019-01-23,Camila Ortega Nazario
LIVERPOOL,Plazo,USD,495198.32,280,2018-05-04,Daniel Escobedo Alcántar
TELMEX,CEDE,EUR,345140.76,450,2021-11-25,Dr. Virginia Pelayo
AMÉRICA MÓVIL,Plazo,USD,3801330.36,317,06/06/2023,Mauricio Ybarra
grupo méxico,Vista,USD,1857930.6,1,05/05/2016,Daniel Escobedo Alcántar
grupo méxico,CEDE,USD,3451806.08,112,17/06/2021,Ing. Asunción Alemán
grupo carso,Plazo,MXN,2985772.71,343,"June 10, 2020",Gloria Otero Sáenz
GRUPO CARSO,Vista,EUR,4303245.33,1,27/10/2017,Daniel Nadia Camacho
BBVA MÉXICO,Vista,MXN,915125.32,1,2019-08-02,Gabino Mariano Laureano Puente
soriana,Plazo,USD,192373.62,582,08/11/2021,Mauricio Ybarra
cemex,Vista,MXN,479197.83,1,"May 20, 2019",Mauricio Ybarra
cemex,Vista,EUR,2224680.06,1,01/01/2017,Tania Homero Alonso
GRUPO MÉXICO,Plazo,EUR,3978706.33,640,16-Jan-2025,Alejandra Susana Rodríguez Muro
liverpool,Plazo,MXN,1551386.1,295,2017-01-19,Linda Isabela Zambrano
TELMEX,Vista,EUR,3983033.06,1,2017-07-03,Mauricio Ybarra
GRUPO LALA,CEDE,USD,1882927.21,97,20/02/2021,Rosalia Flores
femsa,Vista,EUR,358257.21,1,"January 09, 2019",Anabel Anel Quintanilla
grupo carso,Vista,USD,2057324.15,1,08-Mar-2023,Fernando Rivera Maestas
GRUPO BIMBO,Plazo,USD,4386382.1,615,02-Jan-2023,Alfonso Natalia Sevilla
grupo lala,Vista,USD,1904784.98,1,22/06/2016,Alfonso Natalia Sevilla
walmart de méxico,CEDE,USD,4503779.61,448,12/04/2024,Liliana Adela Castro
FEMSA,CEDE,EUR,3788605.75,278,2016-06-04,Sr(a). Salma Esquivel
LIVERPOOL,CEDE,EUR,1169591.62,152,24-Jun-2019,Luis Manuel Ana María Vera Domínguez
soriana,CEDE,EUR,4079657.31,158,20/10/2023,Francisco Bustos Nájera
AMÉRICA MÓVIL,CEDE,EUR,770567.43,284,28-Sep-2020,Frida Heredia Merino
américa móvil,CEDE,EUR,4841643.19,395,22/05/2020,Marco Antonio Esther Tamez Ponce
GRUPO BIMBO,Plazo,EUR,4472240.16,92,07/09/2023,Liliana Adela Castro
GRUPO LALA,CEDE,EUR,2571963.41,118,10/08/2020,Lic. Gilberto Camacho
BBVA MÉXICO,Plazo,MXN,1156615.19,334,26-Feb-2017,Juana Antonia Lira Samaniego
grupo carso,CEDE,MXN,3953144.01,433,2017-12-18,Cristobal Miguel Ángel Armenta Mayorga
GRUPO MÉXICO,Plazo,USD,2743904.22,648,2021-04-02,Irma Tomás Alfaro
ALSEA,Vista,EUR,2383714.14,1,"January 30, 2020",Fernando Rivera Maestas
BANORTE,CEDE,EUR,1968167.03,718,17-Apr-2023,Helena Durán
grupo lala,Vista,USD,4416884.57,1,29/06/2023,Micaela Velásquez
grupo bimbo,Vista,EUR,1373110.32,1,"November 25, 2023",Anabel Anel Quintanilla
américa móvil,Vista,USD,2087955.28,1,"July 14, 2021",Dr. Virginia Pelayo
BBVA MÉXICO,Plazo,MXN,4070767.11,398,"June 12, 2023",Inés Castro
FEMSA,Plazo,EUR,827631.41,667,"June 09, 2022",Samuel Yuridia Huerta
cemex,Vista,USD,1362791.08,1,"June 10, 2016",Gabino Mariano Laureano Puente
GRUPO CARSO,CEDE,EUR,1871382.15,227,26-Feb-2022,Guillermo Cristian Hernandes
GRUPO BIMBO,CEDE,MXN,2671048.18,207,"August 28, 2024",Alfonso Natalia Sevilla
grupo bimbo,Vista,USD,1020363.62,1,11-Nov-2015,Fernando Cervantes Caballero
WALMART DE MÉXICO,Plazo,MXN,4414426.99,674,2024-08-21,Mauricio Ybarra
PEMEX,Vista,MXN,1902932.86,1,"April 14, 2022",Fernando Cervantes Caballero
BANORTE,Plazo,USD,4865927.57,246,08-Jun-2020,Luis Manuel Ana María Vera Domínguez
grupo carso,CEDE,USD,3358220.14,516,26-Mar-2020,Fernando Cervantes Caballero
AMÉRICA MÓVIL,Vista,USD,4467513.95,1,30/05/2021,Tania Homero Alonso
bbva méxico,Vista,MXN,1914657.0,1,09-Sep-2019,Lic. Gilberto Camacho
soriana,Vista,EUR,4473650.59,1,"May 11, 2023",Tania Homero Alonso
grupo bimbo,CEDE,USD,1499161.89,478,17-Sep-2018,Sofía de la Rosa
telmex,Plazo,USD,2218598.47,460,25/11/2021,Dr. Virginia Pelayo
bbva méxico,Plazo,USD,4207589.99,70,26/09/2023,Ing. Pedro Frías
GRUPO BIMBO,Vista,USD,2705847.55,1,"November 04, 2015",Dr. Carlos Narváez
grupo carso,Plazo,USD,4668653.37,135,2017-09-18,Marco Antonio Esther Tamez Ponce
AMÉRICA MÓVIL,Vista,MXN,667453.7,1,2020-11-23,Dr. Carlos Narváez
liverpool,Vista,EUR,772455.82,1,2022-04-30,Rosalia Flores
pemex,CEDE,USD,2820875.91,54,22-Aug-2021,Concepción Pedroza Ruelas
GRUPO MÉXICO,Vista,USD,3937742.22,1,"January 14, 2016",Cornelio Serafín Concepción Delgado
américa móvil,Vista,MXN,1814237.59,1,23-Aug-2020,Inés Castro
AMÉRICA MÓVIL,Plazo,USD,1760921.16,707,18/01/2018,Fernando Cervantes Caballero
PEMEX,CEDE,MXN,2208743.18,270,14/06/2025,Daniel Nadia Camacho
banorte,Plazo,USD,1069850.23,359,16-Dec-2015,Rosalia Flores
LIVERPOOL,Plazo,USD,2542941.23,239,"January 19, 2016",Ivonne Cristian Crespo
GRUPO CARSO,Plazo,EUR,3987676.07,218,2022-06-11,Inés Castro
WALMART DE MÉXICO,Plazo,USD,3544638.54,492,"June 03, 2023",Dr. Virginia Pelayo
grupo bimbo,Vista,EUR,4440059.67,1,09/09/2016,Samuel Yuridia Huerta
alsea,CEDE,EUR,4344476.47,229,21/12/2015,Cristobal Miguel Ángel Armenta Mayorga
walmart de méxico,Plazo,MXN,3424217.28,255,26-Apr-2020,Luis Manuel Ana María Vera Domínguez
ALSEA,CEDE,USD,1775654.06,450,20/04/2024,Ing. Asunción Alemán
AMÉRICA MÓVIL,Vista,MXN,398751.41,1,2023-03-26,Ivonne Cristian Crespo
banorte,Plazo,EUR,4395194.67,79,14-Oct-2015,Francisco Bustos Nájera
grupo bimbo,CEDE,USD,4685997.94,646,"March 14, 2019",Alejandra Susana Rodríguez Muro
FEMSA,Vista,MXN,1362588.51,1,"January 18, 2022",Dr. Carlos Narváez
liverpool,Plazo,MXN,2970720.11,291,2022-05-12,Daniel Nadia Camacho
BBVA MÉXICO,CEDE,EUR,3796859.48,502,18/09/2016,Humberto Núñez
pemex,Plazo,EUR,2202229.36,512,18/08/2025,Gabino Mariano Laureano Puente
grupo lala,Plazo,USD,285234.26,184,"December 26, 2023",Concepción Pedroza Ruelas
femsa,CEDE,EUR,4386391.37,281,"September 11, 2024",Ing. Pedro Frías
SORIANA,Plazo,USD,3983156.46,92,2023-12-20,Víctor Durán de la Crúz
liverpool,CEDE,USD,3421924.34,46,12/11/2017,Humberto Palomo
PEMEX,CEDE,MXN,1160540.05,700,04-Mar-2018,Humberto Palomo
soriana,CEDE,EUR,2587416.14,513,2025-01-06,Marco Antonio Esther Tamez Ponce
TELMEX,CEDE,MXN,3703497.42,266,2023-04-09,Marco Antonio Esther Tamez Ponce
ALSEA,Plazo,MXN,3559441.06,248,2025-05-03,Dr. Carlos Narváez
GRUPO BIMBO,Plazo,MXN,809180.05,35,24-Jun-2016,Sofía de la Rosa
PEMEX,CEDE,USD,4426383.83,567,"December 18, 2021",Anabel Anel Quintanilla
grupo bimbo,Vista,USD,2810883.58,1,16-Dec-2021,Eloisa Salinas Aguilar
walmart de méxico,CEDE,MXN,667219.41,310,05/09/2016,Guillermo Cristian Hernandes
grupo carso,Vista,USD,2832045.22,1,15-Apr-2025,Daniel Nadia Camacho
TELMEX,CEDE,MXN,1574952.2,366,"May 21, 2023",Humberto Núñez
pemex,Vista,MXN,3188810.56,1,10/12/2021,Mercedes Pablo Sanabria
grupo lala,Plazo,MXN,764999.03,534,27/12/2024,Lic. Gilberto Camacho
GRUPO BIMBO,Vista,EUR,1525875.02,1,26/01/2019,Tania Homero Alonso
américa móvil,Plazo,USD,1535545.08,655,"October 26, 2024",Mauricio Ybarra
alsea,Plazo,USD,4638136.88,47,17-May-2023,Eloisa Salinas Aguilar
GRUPO MÉXICO,Vista,USD,3459435.97,1,22/03/2019,Homero Cristobal Romero Cortez
GRUPO LALA,Vista,EUR,535783.31,1,26/08/2019,Eloisa Salinas Aguilar
grupo bimbo,CEDE,EUR,2393674.5,99,"April 17, 2018",Fernando Rivera Maestas
GRUPO BIMBO,Plazo,USD,2884317.06,605,"August 26, 2015",Linda Isabela Zambrano
WALMART DE MÉXICO,Vista,MXN,1429854.4,1,27/03/2019,Dr. Carlos Narváez
grupo bimbo,CEDE,USD,2684326.04,102,24-Feb-2024,Homero Cristobal Romero Cortez
grupo méxico,CEDE,MXN,3069651.63,210,02/11/2023,Fernando Cervantes Caballero
SORIANA,Vista,EUR,626133.9,1,06/04/2017,Cornelio Serafín Concepción Delgado
TELMEX,CEDE,MXN,1492199.09,384,21-May-2016,Luis Manuel Ana María Vera Domínguez
américa móvil,Vista,EUR,4099047.57,1,13/08/2021,Eloisa Salinas Aguilar
soriana,Plazo,MXN,2615619.7,650,11-Oct-2024,Daniel Nadia Camacho
pemex,Vista,MXN,435266.0,1,20-Dec-2022,Ing. Pedro Frías
BBVA MÉXICO,CEDE,USD,4038762.91,263,"July 10, 2021",Sofía de la Rosa
GRUPO MÉXICO,Plazo,USD,1925482.2,273,"January 12, 2017",Humberto Núñez
GRUPO CARSO,CEDE,USD,1641020.62,347,10/07/2016,Mercedes Pablo Sanabria
GRUPO LALA,Plazo,MXN,156544.0,464,27/08/2024,Óscar González Griego
liverpool,Vista,USD,2062869.83,1,10/02/2019,Sr(a). Salma Esquivel
GRUPO MÉXICO,CEDE,USD,2024841.41,206,2021-05-10,Dr. Virginia Pelayo
LIVERPOOL,Plazo,MXN,1363677.99,149,2019-09-22,Concepción Pedroza Ruelas
SORIANA,Vista,USD,740718.04,1,27-Feb-2023,Sandra Rodolfo Amador
femsa,CEDE,MXN,881120.75,507,2015-11-10,Gabino Mariano Laureano Puente
GRUPO BIMBO,Plazo,MXN,1588306.61,596,14/12/2019,Dr. Carlos Narváez
alsea,CEDE,MXN,611954.11,131,2022-09-13,Clara Cristobal Barreto Márquez
grupo carso,Plazo,USD,3059194.54,422,"May 27, 2022",Clara Cristobal Barreto Márquez
GRUPO BIMBO,Plazo,USD,382495.4,658,07-Oct-2015,Camila Ortega Nazario
TELMEX,Plazo,USD,2622649.97,151,2025-02-01,Ivonne Cristian Crespo
grupo carso,Plazo,USD,364001.54,717,2025-03-04,Lic. Gilberto Camacho
grupo bimbo,Vista,EUR,1075449.56,1,2023-01-14,Mauricio Ybarra
PEMEX,CEDE,EUR,2723624.62,197,2016-03-09,Espartaco Feliciano
GRUPO LALA,Vista,MXN,4822497.32,1,2020-11-09,Marco Antonio Esther Tamez Ponce
américa móvil,CEDE,USD,4288305.34,476,2024-04-14,Camila Ortega Nazario
AMÉRICA MÓVIL,Plazo,USD,2214482.49,175,27-Oct-2021,Sofía de la Rosa
WALMART DE MÉXICO,CEDE,USD,1189542.33,661,31/08/2020,Cornelio Serafín Concepción Delgado
WALMART DE MÉXICO,CEDE,EUR,4927500.33,262,"May 10, 2022",Daniel Escobedo Alcántar
TELMEX,Vista,MXN,3306245.71,1,2020-09-22,Daniel Nadia Camacho
soriana,CEDE,MXN,1006819.14,633,"December 17, 2023",Humberto Palomo
grupo bimbo,Vista,EUR,2980805.38,1,22/12/2018,Sr(a). Salma Esquivel
GRUPO LALA,CEDE,USD,4948341.74,197,2022-09-02,Dr. Virginia Pelayo
PEMEX,CEDE,MXN,3817596.46,383,30/04/2019,Juana Antonia Lira Samaniego
walmart de méxico,Vista,USD,4154212.84,1,14/12/2023,Alejandro Manuel Pantoja Olivo
ALSEA,Vista,EUR,374183.2,1,18/01/2018,Víctor Judith Leal Chapa
telmex,Vista,USD,3376310.9,1,"May 25, 2018",Alfonso Natalia Sevilla
walmart de méxico,Vista,USD,3693951.88,1,2018-10-28,Lic. Gilberto Camacho
cemex,Vista,MXN,4187542.57,1,2021-01-31,Juana Antonia Lira Samaniego
GRUPO BIMBO,CEDE,USD,4349251.5,516,21-Mar-2024,Micaela Velásquez
pemex,Plazo,EUR,3236244.91,515,2021-12-08,Linda Isabela Zambrano
grupo lala,CEDE,EUR,807058.19,551,25-May-2016,Víctor Judith Leal Chapa
pemex,CEDE,EUR,4070003.45,152,2025-04-23,Helena Durán
bbva méxico,Vista,EUR,1191605.15,1,24-May-2023,Dr. Virginia Pelayo
grupo lala,CEDE,EUR,3857118.73,135,2018-11-26,Linda Isabela Zambrano
femsa,CEDE,USD,958813.66,523,19/12/2016,Fernando Cervantes Caballero
GRUPO CARSO,Vista,EUR,1819166.67,1,"December 25, 2024",Cristobal Miguel Ángel Armenta Mayorga
ALSEA,Plazo,USD,2027872.43,330,03/10/2015,Gabino Mariano Laureano Puente
liverpool,Plazo,USD,3810526.72,385,12-Jan-2021,Ing. Pedro Frías
banorte,CEDE,USD,1436734.3,191,07-Aug-2020,Clara Cristobal Barreto Márquez
pemex,CEDE,MXN,3693266.25,635,2020-12-14,Eloisa Salinas Aguilar
grupo lala,CEDE,MXN,1237718.28,161,2021-11-25,Concepción Pedroza Ruelas
femsa,Vista,USD,4762317.45,1,22/10/2023,Gloria Otero Sáenz
WALMART DE MÉXICO,Plazo,USD,2881616.0,464,23/04/2019,Óscar González Griego
GRUPO BIMBO,Plazo,EUR,3354949.68,94,12/07/2023,Ivonne Cristian Crespo
AMÉRICA MÓVIL,CEDE,MXN,1359587.9,629,2022-07-07,Dr. Virginia Pelayo
cemex,Plazo,MXN,2005368.3,409,07-Jan-2021,Lic. Gilberto Camacho
WALMART DE MÉXICO,CEDE,EUR,2458738.23,116,16/08/2017,Víctor Durán de la Crúz
GRUPO LALA,Plazo,USD,2239658.63,514,10-Jun-2018,Linda Isabela Zambrano
GRUPO MÉXICO,CEDE,EUR,2167959.09,548,2019-10-15,Homero Cristobal Romero Cortez
telmex,CEDE,USD,4892665.82,32,16-Aug-2019,Sandra Rodolfo Amador
bbva méxico,Plazo,EUR,1960511.4,667,18/07/2018,Cornelio Serafín Concepción Delgado
cemex,Vista,MXN,2262439.8,1,"February 13, 2025",Sofía de la Rosa
walmart de méxico,Vista,MXN,365949.01,1,06/10/2022,Lic. Gilberto Camacho
AMÉRICA MÓVIL,Plazo,EUR,642435.64,311,"March 08, 2020",Mercedes Pablo Sanabria
bbva méxico,Vista,EUR,4050360.44,1,"October 19, 2015",Cristobal Miguel Ángel Armenta Mayorga
walmart de méxico,Vista,EUR,1766901.58,1,"July 29, 2017",Gloria Otero Sáenz
pemex,CEDE,USD,1687317.35,349,09-Apr-2017,Rosalia Flores
pemex,Vista,MXN,1946483.96,1,2021-10-28,Micaela Velásquez
grupo bimbo,CEDE,EUR,1464638.65,527,02/11/2021,Ing. Asunción Alemán
LIVERPOOL,Vista,MXN,3950540.31,1,18/02/2018,Samuel Yuridia Huerta
WALMART DE MÉXICO,CEDE,EUR,1516818.34,143,01-Dec-2021,Alejandra Susana Rodríguez Muro
